French,English
chercher,search
police,police
aide,help
demande,request
aucun,no
eux,them
ville,city
chaque,each
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
type,type
leurs,their
donné,given
façon,way
premier,first
perdu,lost
main,hand
première,first
côté,side
sois,be
tiens,here
tellement,so much
venu,came
venez,come
vers,towards
belle,beautiful
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
boulot,job
arrêter,Stop
compte,account
chérie,sweetheart
plutôt,rather
